"protein__id","gene__name","group","replicate","variable","value"
"ACQ41973.1;P62552","ccdA","Ampicillin",1,"lfq",24.7033
"ACQ41973.1;P62552","ccdA","Ampicillin",2,"lfq",23.5168
"ACQ41973.1;P62552","ccdA","Ampicillin",3,"lfq",26.3269
"ACQ41973.1;P62552","ccdA","Cefotaxime",1,"lfq",25.5626
"ACQ41973.1;P62552","ccdA","Cefotaxime",2,"lfq",26.1038
"ACQ41973.1;P62552","ccdA","Cefotaxime",3,"lfq",26.544
"ACQ41973.1;P62552","ccdA","Impipenem",1,"lfq",25.2792
"ACQ41973.1;P62552","ccdA","Impipenem",2,"lfq",26.2555
"ACQ41973.1;P62552","ccdA","Impipenem",3,"lfq",25.3692
"ACQ41973.1;P62552","ccdA","Ciprofloxacin",1,"lfq",25.6053
"ACQ41973.1;P62552","ccdA","Ciprofloxacin",2,"lfq",25.7816
"ACQ41973.1;P62552","ccdA","Ciprofloxacin",3,"lfq",24.1328
"ACQ41973.1;P62552","ccdA","Control",1,"lfq",25.0988
"ACQ41973.1;P62552","ccdA","Control",2,"lfq",23.7453
"ACQ41973.1;P62552","ccdA","Control",3,"lfq",26.1664
"ACQ41974.1;P62554","ccdB","Ampicillin",1,"lfq",25.9655
"ACQ41974.1;P62554","ccdB","Ampicillin",2,"lfq",25.3959
"ACQ41974.1;P62554","ccdB","Ampicillin",3,"lfq",25.3544
"ACQ41974.1;P62554","ccdB","Cefotaxime",1,"lfq",26.0886
"ACQ41974.1;P62554","ccdB","Cefotaxime",2,"lfq",22.5917
"ACQ41974.1;P62554","ccdB","Cefotaxime",3,"lfq",25.585
"ACQ41974.1;P62554","ccdB","Impipenem",1,"lfq",22.7714
"ACQ41974.1;P62554","ccdB","Impipenem",2,"lfq",25.2124
"ACQ41974.1;P62554","ccdB","Impipenem",3,"lfq",24.372
"ACQ41974.1;P62554","ccdB","Ciprofloxacin",1,"lfq",25.0882
"ACQ41974.1;P62554","ccdB","Ciprofloxacin",2,"lfq",25.9174
"ACQ41974.1;P62554","ccdB","Ciprofloxacin",3,"lfq",25.0621
"ACQ41974.1;P62554","ccdB","Control",1,"lfq",26.0639
"ACQ41974.1;P62554","ccdB","Control",2,"lfq",25.7116
"ACQ41974.1;P62554","ccdB","Control",3,"lfq",26.2768
"ACQ41977.1",NA,"Ampicillin",1,"lfq",25.6478
"ACQ41977.1",NA,"Ampicillin",2,"lfq",25.1212
"ACQ41977.1",NA,"Ampicillin",3,"lfq",25.7623
"ACQ41977.1",NA,"Cefotaxime",1,"lfq",25.7226
"ACQ41977.1",NA,"Cefotaxime",2,"lfq",25.0007
