"protein__id","gene__name","lqf__Ampicillin__1","lqf__Ampicillin__2","lqf__Ampicillin__3","lqf__Cefotaxime__1","lqf__Cefotaxime__2","lqf__Cefotaxime__3","lqf__Impipenem__1","lqf__Impipenem__2","lqf__Impipenem__3","lqf__Ciprofloxacin__1","lqf__Ciprofloxacin__2","lqf__Ciprofloxacin__3","lqf__Control__1","lqf__Control__2","lqf__Control__3"
"ACQ41973.1;P62552","ccdA",24.7033,23.5168,26.3269,25.5626,26.1038,26.544,25.2792,26.2555,25.3692,25.6053,25.7816,24.1328,25.0988,23.7453,26.1664
"ACQ41974.1;P62554","ccdB",25.9655,25.3959,25.3544,26.0886,22.5917,25.585,22.7714,25.2124,24.372,25.0882,25.9174,25.0621,26.0639,25.7116,26.2768
"ACQ41977.1",NA,25.6478,25.1212,25.7623,25.7226,25.0007,24.9717,25.8281,25.0214,24.7062,25.3644,25.6523,25.8179,23.7989,24.9121,25.4401
"ACQ42006.1",NA,24.4971,24.1877,23.4705,27.8062,24.3875,26.3394,27.3815,27.5245,24.3834,25.9224,24.5747,22.792,27.0206,27.3275,27.1247
"ACQ42024.1",NA,28.2335,26.5797,29.0626,29.5706,29.117,29.6083,29.9096,30.1399,30.7119,30.3731,29.8435,29.9994,27.4281,29.0942,28.6517
"ACQ42036.1",NA,26.2056,26.6164,26.244,26.3227,24.9143,26.348,26.9393,26.5688,24.3982,24.1375,24.4271,25.2148,22.7568,26.6074,26.2316
"ACQ42045.1",NA,32.5698,32.3957,33.0636,32.6473,32.4935,32.7512,32.2604,32.309,31.972,32.3105,31.7699,31.3072,31.7283,32.2477,32.3441
"ACQ42046.1",NA,29.7888,28.4346,30.8056,30.8211,30.3832,30.5672,30.5298,30.5858,30.8524,31.0511,30.553,30.4271,29.1439,30.4658,30.0566
"ACQ42051.1",NA,24.3892,24.1676,26.8046,27.4073,27.0784,27.5011,26.6168,26.2342,26.6081,29.3371,27.1818,27.4054,22.4108,25.716,25.179
"ACQ42056.1",NA,26.0653,27.537,23.9421,24.2024,26.7797,26.4628,26.5855,27.014,24.0961,26.3162,26.3356,26.4963,26.8843,26.9991,26.7788
"ACQ42065.1",NA,25.7451,25.805,26.1399,25.901,24.906,26.491,27.3926,27.0308,26.7822,26.5014,26.5886,27.183,26.5553,27.2181,27.673
"ACQ42069.1",NA,27.7962,27.5631,29.1084,28.1239,27.1317,27.7748,27.8415,28.1527,27.7983,27.451,25.1019,22.5707,27.6875,27.5329,27.0963
"ACQ42094.1",NA,27.5113,29.3733,24.3489,28.8541,26.5868,28.229,30.4183,29.732,27.5389,30.065,27.8094,28.3936,28.7644,29.1652,29.8941
"ACQ42102.1",NA,28.1648,27.7603,28.1694,28.5553,27.5161,28.3311,29.2693,29.4049,28.6175,28.9625,28.0761,25.575,27.1998,29.2144,29.1232
