"protein__id","group","replicate","variable","value"
"ACQ41973.1;P62552","Ampicillin","1","lqf",24.7033
"ACQ41973.1;P62552","Ampicillin","2","lqf",23.5168
"ACQ41973.1;P62552","Ampicillin","3","lqf",26.3269
"ACQ41973.1;P62552","Cefotaxime","1","lqf",25.5626
"ACQ41973.1;P62552","Cefotaxime","2","lqf",26.1038
"ACQ41973.1;P62552","Cefotaxime","3","lqf",26.544
"ACQ41973.1;P62552","Impipenem","1","lqf",25.2792
"ACQ41973.1;P62552","Impipenem","2","lqf",26.2555
"ACQ41973.1;P62552","Impipenem","3","lqf",25.3692
"ACQ41973.1;P62552","Ciprofloxacin","1","lqf",25.6053
"ACQ41973.1;P62552","Ciprofloxacin","2","lqf",25.7816
"ACQ41973.1;P62552","Ciprofloxacin","3","lqf",24.1328
"ACQ41973.1;P62552","Control","1","lqf",25.0988
"ACQ41973.1;P62552","Control","2","lqf",23.7453
"ACQ41973.1;P62552","Control","3","lqf",26.1664
"ACQ41974.1;P62554","Ampicillin","1","lqf",25.9655
"ACQ41974.1;P62554","Ampicillin","2","lqf",25.3959
"ACQ41974.1;P62554","Ampicillin","3","lqf",25.3544
"ACQ41974.1;P62554","Cefotaxime","1","lqf",26.0886
"ACQ41974.1;P62554","Cefotaxime","2","lqf",22.5917
"ACQ41974.1;P62554","Cefotaxime","3","lqf",25.585
"ACQ41974.1;P62554","Impipenem","1","lqf",22.7714
"ACQ41974.1;P62554","Impipenem","2","lqf",25.2124
"ACQ41974.1;P62554","Impipenem","3","lqf",24.372
"ACQ41974.1;P62554","Ciprofloxacin","1","lqf",25.0882
"ACQ41974.1;P62554","Ciprofloxacin","2","lqf",25.9174
"ACQ41974.1;P62554","Ciprofloxacin","3","lqf",25.0621
"ACQ41974.1;P62554","Control","1","lqf",26.0639
"ACQ41974.1;P62554","Control","2","lqf",25.7116
"ACQ41974.1;P62554","Control","3","lqf",26.2768
"ACQ41977.1","Ampicillin","1","lqf",25.6478
"ACQ41977.1","Ampicillin","2","lqf",25.1212
"ACQ41977.1","Ampicillin","3","lqf",25.7623
"ACQ41977.1","Cefotaxime","1","lqf",25.7226
"ACQ41977.1","Cefotaxime","2","lqf",25.0007
"ACQ41977.1","Cefotaxime","3","lqf",24.9717
"ACQ41977.1","Impipenem","1","lqf",25.8281
"ACQ41977.1","Impipenem","2","lqf",25.0214
"ACQ41977.1","Impipenem","3","lqf",24.7062
"ACQ41977.1","Ciprofloxacin","1","lqf",25.3644
"ACQ41977.1","Ciprofloxacin","2","lqf",25.6523
"ACQ41977.1","Ciprofloxacin","3","lqf",25.8179
"ACQ41977.1","Control","1","lqf",23.7989
"ACQ41977.1","Control","2","lqf",24.9121
"ACQ41977.1","Control","3","lqf",25.4401
"ACQ42006.1","Ampicillin","1","lqf",24.4971
"ACQ42006.1","Ampicillin","2","lqf",24.1877
"ACQ42006.1","Ampicillin","3","lqf",23.4705
